t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
0.000000000000000000e+00,2.912100994461972903e+00,-1.055332398836286156e+00,8.084155847959449304e+00,-4.204931162667775030e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.936997791251649392e+00,-1.570576178814364177e+00,7.518623574672423260e+00,-2.040935602502858270e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.047451345660806776e+00,-2.625128325425774900e+00,7.787435749028982279e+00,-9.793222175720511791e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,4.613035079186630583e+00,-2.359639764793387773e+00,8.711568491854105645e+00,-5.524896001099146581e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,5.247092852632494697e+00,-1.867850916804848049e+00,8.365371219644094580e+00,2.462608645828220366e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,6.591038899730598644e+00,-2.452107995005257557e+00,9.169475694808870259e+00,-7.186525480567808044e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,6.918402459264757276e+00,-2.015190675579390689e+00,8.229671293451387371e+00,9.235333834777048612e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,8.163075986702702735e+00,-2.025065322524018274e+00,8.879084705689521684e+00,6.292462234563099555e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,8.677135382151375254e+00,-1.906296467022856600e+00,8.334028541119508304e+00,2.269104540581649565e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,9.399337328217724163e+00,-1.032792772171635676e+00,8.181952033558511417e+00,1.390467646085006947e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.597963081141314134e+00,-2.958799070800688380e-02,7.389843376968849853e+00,2.495278487443848725e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,1.094333120705855222e+01,4.657531126866152338e-01,8.114404842429888021e+00,2.788998101125870654e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,1.223642020855072587e+01,2.962098193694473469e-01,8.653037602094279634e+00,2.287499315803405153e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,1.301735450024508722e+01,3.241165683931596098e-02,8.564538225607075006e+00,1.770840861199621807e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,1.377871903622797412e+01,4.487483004513038165e-01,8.470739442730085500e+00,2.006846403996417560e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.440779234367628803e+01,4.022422193625093678e-01,8.267968115961194187e+00,1.776924183166042059e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,1.510293620704279327e+01,1.807938480705528761e-01,8.152188751146885792e+00,1.425908366856618148e+00,0.000000000000000000e+00,0.000000000000000000e+00
