t,px,py,vx,vy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000056e-01,9.991052212804043542e-01,3.944540686958871584e-03,9.982104425608087084e+00,7.889081924275813396e-02
2.000000000000000111e-01,1.997654108847851218e+00,1.395808487628564382e-02,9.988873325740852849e+00,1.213800649682651167e-01
3.000000000000000444e-01,2.996269367813895190e+00,2.779782324038359079e-02,9.983431853580025717e+00,1.554147067166546381e-01
4.000000000000000222e-01,3.996522369304269073e+00,4.403933444744567022e-02,1.002162817622745727e+01,1.694155199720281391e-01
5.000000000000000000e-01,5.001937247439559364e+00,6.605621185084206703e-02,1.008666938647836098e+01,2.709220326129078149e-01
6.000000000000000888e-01,6.009758588987022421e+00,9.349488814006570725e-02,1.006975744447090015e+01,2.778514921462890697e-01
7.000000000000000666e-01,7.014045730357454822e+00,1.240310511030020962e-01,1.001598538293774254e+01,3.328717640224167496e-01
8.000000000000000444e-01,8.011282202258657392e+00,1.535028915551600037e-01,9.928744055086296427e+00,2.565650413288289577e-01
9.000000000000000222e-01,9.004632309495397280e+00,1.755506104672406309e-01,9.938258089648511984e+00,1.843893354074715996e-01
1.000000000000000000e+00,9.997500339280813719e+00,1.939265267228975076e-01,9.919102506059799040e+00,1.831289878363569212e-01
1.100000000000000089e+00,1.099021457519752332e+01,2.107357582070482072e-01,9.935182212274391134e+00,1.530556423695213497e-01
1.200000000000000178e+00,1.198269798384282758e+01,2.223960880162151044e-01,9.914485960631665762e+00,8.015095596240214004e-02
1.300000000000000044e+00,1.297690773438067779e+01,2.329589611246932757e-01,9.969709050125320715e+00,1.311065036409749807e-01
1.400000000000000133e+00,1.397375304987000355e+01,2.453729587799489409e-01,9.967197259661215725e+00,1.171734508364172672e-01
1.500000000000000000e+00,1.496623343876071388e+01,2.604181370939595008e-01,9.882410518153006862e+00,1.837301122883513715e-01
1.600000000000000089e+00,1.595174102029987928e+01,2.778896172100231987e-01,9.827741112630313580e+00,1.656994910831131318e-01
1.700000000000000178e+00,1.693052180373952709e+01,2.944830448016468316e-01,9.747874556162622994e+00,1.661690662988905831e-01
1.800000000000000044e+00,1.790314162241918439e+01,3.082590606713216386e-01,9.704521817430507014e+00,1.093512498756945561e-01
1.900000000000000133e+00,1.887028327244689052e+01,3.234940148734749554e-01,9.638311183123681403e+00,1.953478316293922601e-01
2.000000000000000000e+00,1.983232004370927726e+01,3.424295241905107035e-01,9.602424242124076414e+00,1.833623565209775430e-01
2.100000000000000089e+00,2.079502080282394871e+01,3.616074730208261312e-01,9.651590940169342048e+00,2.001966180384822380e-01
2.200000000000000178e+00,2.175604481743567575e+01,3.806541020155362332e-01,9.568889352065252041e+00,1.807359595868230917e-01
2.300000000000000266e+00,2.271286257735013692e+01,3.972198442207933167e-01,9.567465846223987214e+00,1.505788862174966269e-01
2.400000000000000355e+00,2.367205332180964561e+01,4.131632307471030385e-01,9.616349042966184868e+00,1.682888447998748260e-01
2.500000000000000000e+00,2.463157630577000035e+01,4.353209891373211460e-01,9.574110636240890315e+00,2.748663191265884320e-01
2.600000000000000089e+00,2.558515621859972811e+01,4.626550281960508659e-01,9.497487620353640025e+00,2.718144617578731603e-01
2.700000000000000178e+00,2.653731978089883370e+01,4.923557089527620945e-01,9.545783625628530444e+00,3.221991519086793154e-01
2.800000000000000266e+00,2.749170237293443364e+01,5.266985937541799334e-01,9.541868215083495031e+00,3.646585411721028347e-01
2.900000000000000355e+00,2.844518048921755593e+01,5.658209631204483836e-01,9.527694110578888598e+00,4.177888486782938005e-01
3.000000000000000000e+00,2.939642580859947785e+01,6.052872107557591974e-01,9.497212277059510654e+00,3.715361026854936410e-01
3.100000000000000089e+00,3.034922152086326363e+01,6.416492664832285087e-01,9.558701968216189115e+00,3.557050137064121098e-01
3.200000000000000178e+00,3.130497507302160187e+01,6.747502918237130443e-01,9.556369074950605835e+00,3.063154892933061535e-01
3.300000000000000266e+00,3.226322391698168701e+01,7.052940015877018354e-01,9.608607804251102280e+00,3.045587082608890439e-01
3.400000000000000355e+00,3.322109613005802942e+01,7.405870148861262159e-01,9.548836457275738709e+00,4.013015609482286083e-01
3.500000000000000000e+00,3.417959539941731606e+01,7.821485485467007948e-01,9.621148929909901781e+00,4.299291130881837120e-01
